,Reactions,Charge,Masses
275,EX_cpd00246_e,,"{'C': -10.0, 'H': -12.0, 'N': -4.0, 'O': -5.0}"
276,EX_cpd03048_e,1.0,"{'C': -2.0, 'H': -5.0, 'O': -4.0, 'S': -1.0}"
277,EX_cpd00205_e,-1.0,{'K': -1.0}
278,EX_cpd03091_e,,"{'C': -10.0, 'H': -13.0, 'N': -5.0, 'O': -3.0}"
279,EX_cpd00035_e,,"{'C': -3.0, 'H': -7.0, 'N': -1.0, 'O': -2.0}"
280,EX_cpd11585_e,,"{'C': -5.0, 'H': -10.0, 'N': -2.0, 'O': -3.0}"
281,EX_cpd00224_e,,"{'C': -5.0, 'H': -10.0, 'O': -5.0}"
282,EX_cpd00051_e,-1.0,"{'C': -6.0, 'H': -15.0, 'N': -4.0, 'O': -2.0}"
283,EX_cpd00132_e,,"{'C': -4.0, 'H': -8.0, 'N': -2.0, 'O': -3.0}"
284,EX_cpd00041_e,1.0,"{'C': -4.0, 'H': -6.0, 'N': -1.0, 'O': -4.0}"
285,EX_cpd00395_e,1.0,"{'C': -3.0, 'H': -6.0, 'N': -1.0, 'O': -5.0, 'S': -1.0}"
286,EX_cpd00084_e,,"{'C': -3.0, 'H': -7.0, 'N': -1.0, 'O': -2.0, 'S': -1.0}"
287,EX_cpd00023_e,1.0,"{'C': -5.0, 'H': -8.0, 'N': -1.0, 'O': -4.0}"
288,EX_cpd00053_e,,"{'C': -5.0, 'H': -10.0, 'N': -2.0, 'O': -3.0}"
289,EX_cpd00119_e,,"{'C': -6.0, 'H': -9.0, 'N': -3.0, 'O': -2.0}"
290,EX_cpd00121_e,,"{'C': -6.0, 'H': -12.0, 'O': -6.0}"
291,EX_cpd00322_e,,"{'C': -6.0, 'H': -13.0, 'N': -1.0, 'O': -2.0}"
292,EX_cpd00159_e,1.0,"{'C': -3.0, 'H': -5.0, 'O': -3.0}"
293,EX_cpd00107_e,,"{'C': -6.0, 'H': -13.0, 'N': -1.0, 'O': -2.0}"
294,EX_cpd00039_e,-1.0,"{'C': -6.0, 'H': -15.0, 'N': -2.0, 'O': -2.0}"
295,EX_cpd00130_e,2.0,"{'C': -4.0, 'H': -4.0, 'O': -5.0}"
296,EX_cpd00060_e,,"{'C': -5.0, 'H': -11.0, 'N': -1.0, 'O': -2.0, 'S': -1.0}"
297,EX_cpd11576_e,,"{'C': -5.0, 'H': -11.0, 'N': -1.0, 'O': -3.0, 'S': -1.0}"
298,EX_cpd01914_e,,"{'C': -5.0, 'H': -11.0, 'N': -1.0, 'O': -3.0, 'S': -1.0}"
299,EX_cpd00066_e,,"{'C': -9.0, 'H': -11.0, 'N': -1.0, 'O': -2.0}"
300,EX_cpd00129_e,,"{'C': -5.0, 'H': -9.0, 'N': -1.0, 'O': -2.0}"
301,EX_cpd00054_e,,"{'C': -3.0, 'H': -7.0, 'N': -1.0, 'O': -3.0}"
302,EX_cJB00034_e,,"{'C': -6.0, 'H': -12.0, 'O': -6.0}"
303,EX_cpd00161_e,,"{'C': -4.0, 'H': -9.0, 'N': -1.0, 'O': -3.0}"
